mean,mean_se,mean_ci_lower,mean_ci_upper,Country,Year-Month
63.35306145236913,9.006481196435663,45.70068267991802,81.00544022482025,France,2025-06
261.1778718200868,9.006498003783834,243.5254601058386,278.830283534335,France,2025-07
293.849786068714,9.006514960681027,276.197341119558,311.50223101787003,France,2025-08
370.731510909687,9.00655162106367,353.0789941075014,388.38402771187265,France,2025-09
384.4136369343524,9.00664449074554,366.76093811093506,402.0663357577697,France,2025-10
449.90300803859395,9.00681693863361,432.24997122352676,467.55604485366115,France,2025-11
489.2590532334063,9.006378132785025,471.6068764619985,506.91123000481406,France,2025-12
400.6323023229832,42.62136683455854,317.0959583553785,484.1686462905879,Germany,2025-01
361.15004270493404,42.71430996241805,277.43153355411425,444.8685518557538,Germany,2025-02
401.47997724712155,42.722899422877425,317.74463306315477,485.21532143108834,Germany,2025-03
441.4176270823773,42.72370172506031,357.6807104150273,525.1545437497273,Germany,2025-04
386.157425965224,42.7237771444716,302.4203614785441,469.89449045190383,Germany,2025-05
405.0577920861396,42.72378466706276,321.32071285545203,488.7948713168272,Germany,2025-06
383.0752757715425,42.72378610130738,299.3381937297871,466.8123578132979,Germany,2025-07
360.9186595890736,42.723789708405775,277.1815704775353,444.655748700612,Germany,2025-08
438.48216207580975,42.723822811015715,354.7450080843481,522.2193160672714,Germany,2025-09
598.6283583587739,42.72417160602212,514.8905207416617,682.3661959758861,Germany,2025-10
670.6439450748297,42.72789162918864,586.8988163462895,754.3890738033699,Germany,2025-11
576.2786334927208,42.76744989349279,492.4559719908536,660.101294994588,Germany,2025-12
1059.0171502670717,116.98921704838801,829.7224982726918,1288.3118022614515,India,2025-01
988.0917258142058,117.03827157792938,758.7009287086464,1217.4825229197652,India,2025-02
1247.9327861848383,117.03935627053689,1018.5398631208338,1477.3257092488427,India,2025-03
1107.1707774516701,117.03938091272592,877.7778060898627,1336.5637488134776,India,2025-04
1091.4028044169986,117.03938206576858,862.0098307952691,1320.795778038728,India,2025-05
1099.5487330390704,117.0393826981441,870.1557581779076,1328.9417079002333,India,2025-06
1030.3167641012742,117.03938331931799,800.923788022633,1259.7097401799153,India,2025-07
